center,left,right,ID,label_id
00000_kf_rgb.mp4,00000_kl_rgb.mp4,00000_kr_rgb.mp4,0,804
00002_kf_rgb.mp4,00002_kl_rgb.mp4,00002_kr_rgb.mp4,2,2917
00005_kf_rgb.mp4,00005_kl_rgb.mp4,00005_kr_rgb.mp4,5,2584
00009_kf_rgb.mp4,00009_kl_rgb.mp4,00009_kr_rgb.mp4,9,1215
00010_kf_rgb.mp4,00010_kl_rgb.mp4,00010_kr_rgb.mp4,10,2340
00013_kf_rgb.mp4,00013_kl_rgb.mp4,00013_kr_rgb.mp4,13,188
00016_kf_rgb.mp4,00016_kl_rgb.mp4,00016_kr_rgb.mp4,16,309
00017_kf_rgb.mp4,00017_kl_rgb.mp4,00017_kr_rgb.mp4,17,1463
00018_kf_rgb.mp4,00018_kl_rgb.mp4,00018_kr_rgb.mp4,18,2830
00019_kf_rgb.mp4,00019_kl_rgb.mp4,00019_kr_rgb.mp4,19,2868
00022_kf_rgb.mp4,00022_kl_rgb.mp4,00022_kr_rgb.mp4,22,604
00024_kf_rgb.mp4,00024_kl_rgb.mp4,00024_kr_rgb.mp4,24,2585
00027_kf_rgb.mp4,00027_kl_rgb.mp4,00027_kr_rgb.mp4,27,2841
00028_kf_rgb.mp4,00028_kl_rgb.mp4,00028_kr_rgb.mp4,28,2634
00029_kf_rgb.mp4,00029_kl_rgb.mp4,00029_kr_rgb.mp4,29,3170
00032_kf_rgb.mp4,00032_kl_rgb.mp4,00032_kr_rgb.mp4,32,2166
00034_kf_rgb.mp4,00034_kl_rgb.mp4,00034_kr_rgb.mp4,34,224
00039_kf_rgb.mp4,00039_kl_rgb.mp4,00039_kr_rgb.mp4,39,2434
00041_kf_rgb.mp4,00041_kl_rgb.mp4,00041_kr_rgb.mp4,41,1457
00042_kf_rgb.mp4,00042_kl_rgb.mp4,00042_kr_rgb.mp4,42,678
00046_kf_rgb.mp4,00046_kl_rgb.mp4,00046_kr_rgb.mp4,46,174
00048_kf_rgb.mp4,00048_kl_rgb.mp4,00048_kr_rgb.mp4,48,2430
00061_kf_rgb.mp4,00061_kl_rgb.mp4,00061_kr_rgb.mp4,61,3135
00062_kf_rgb.mp4,00062_kl_rgb.mp4,00062_kr_rgb.mp4,62,2525
00064_kf_rgb.mp4,00064_kl_rgb.mp4,00064_kr_rgb.mp4,64,3044
00065_kf_rgb.mp4,00065_kl_rgb.mp4,00065_kr_rgb.mp4,65,874
00066_kf_rgb.mp4,00066_kl_rgb.mp4,00066_kr_rgb.mp4,66,2910
00067_kf_rgb.mp4,00067_kl_rgb.mp4,00067_kr_rgb.mp4,67,1677
00074_kf_rgb.mp4,00074_kl_rgb.mp4,00074_kr_rgb.mp4,74,702
00076_kf_rgb.mp4,00076_kl_rgb.mp4,00076_kr_rgb.mp4,76,3006
00077_kf_rgb.mp4,00077_kl_rgb.mp4,00077_kr_rgb.mp4,77,3056
00084_kf_rgb.mp4,00084_kl_rgb.mp4,00084_kr_rgb.mp4,84,541
00085_kf_rgb.mp4,00085_kl_rgb.mp4,00085_kr_rgb.mp4,85,1529
00089_kf_rgb.mp4,00089_kl_rgb.mp4,00089_kr_rgb.mp4,89,1225
00090_kf_rgb.mp4,00090_kl_rgb.mp4,00090_kr_rgb.mp4,90,728
00091_kf_rgb.mp4,00091_kl_rgb.mp4,00091_kr_rgb.mp4,91,1372
00095_kf_rgb.mp4,00095_kl_rgb.mp4,00095_kr_rgb.mp4,95,2592
00096_kf_rgb.mp4,00096_kl_rgb.mp4,00096_kr_rgb.mp4,96,891
00100_kf_rgb.mp4,00100_kl_rgb.mp4,00100_kr_rgb.mp4,100,2553
00101_kf_rgb.mp4,00101_kl_rgb.mp4,00101_kr_rgb.mp4,101,563
00103_kf_rgb.mp4,00103_kl_rgb.mp4,00103_kr_rgb.mp4,103,144
