word,label_id
A,0
ABATTOIR,1
ABDOMEN,2
ABLE,3
ABOMINATION,4
ABORIGINE,5
ABORTION,6
ABOUT-TURN,7
ABOVE,8
ABSCOND,9
ABSENCE,10
ABSOLUTE VALUE,11
ABUSE,12
ACCELERATOR,13
ACCEPTANCE,14
ACCESS,15
ACCIDENT,16
ACCOMMODATION,17
ACCORD,18
ACCUMULATION,19
ACHE,20
ACNE,21
ACQUIRE,22
ACROSS,23
ACTION,24
ACTIVITY,25
ACTOR,26
ACUPUNCTURE,27
ADAPT,28
ADDICTION,29
ADDITION,30
ADDRESS,31
ADELAIDE,32
ADHERENT,33
ADMINISTRATION,34
ADMISSION,35
ADMIT,36
ADOPT,37
ADOPTION,38
ADORATION,39
ADULT,40
ADULTS,41
ADVANCE,42
ADVANTAGE,43
ADVANTAGE (TENNIS),44
ADVANTAGED,45
ADVENT,46
ADVERTISEMENT,47
ADVOCACY,48
ADVOCATE,49
AFFAIR,50
AFFORD,51
AFRICA,52
AGAIN,53
AGAINST,54
AGAPE,55
AGENDA,56
AGES,57
AGREEMENT,58
AHEAD,59
AHH,60
AIM,61
AIM (ARROW),62
AIR,63
AIR-CONDITIONING,64
AIRPLANE,65
AIRPORT,66
ALARM (FLASHING),67
ALARM (RINGING),68
ALARM (SIREN),69
ALARM CLOCK (VIBRATING),70
ALCOHOL,71
ALCOHOLIC,72
ALERTNESS,73
ALGEBRA,74
ALL,75
ALL OUT,76
ALL TOGETHER,77
ALMOST,78
ALONE,79
ALOOF,80
ALPHA,81
ALPHABET,82
ALREADY,83
ALRIGHT,84
ALSATIAN (DOG),85
ALSO,86
ALTAR,87
ALTERATIONS (CLOTHING),88
ALTERNATE,89
AMATEUR,90
AMAZING (EXCLAMATION),91
AMBITIOUS,92
AMBULANCE,93
AMEN,94
AMENDMENTS,95
AMERICA (USA),96
AMERICAS (NORTH AND SOUTH AMERICA),97
AMERINDIAN,98
AMNESIA,99
AMPHETAMINE,100
AMPUTATION,101
AMSTERDAM,102
ANCESTORS,103
AND,104
ANGER,105
ANGLE,106
ANIMAL,107
ANNOUNCE,108
ANNOYING,109
ANSWER,110
ANSWERING MACHINE,111
ANTHROPOLOGY,112
ANTISEPTIC,113
ANTLERS,114
ANUS,115
APOLOGY,116
APOSTROPHE,117
APPEARANCE,118
APPLAUSE,119
APPLE,120
APPLY,121
APPRENTICE,122
APPROACH,123
APPROXIMATION,124
APRICOT,125
APRON,126
AQUARIUS,127
ARBITRARINESS,128
ARE,129
AREA (SURFACE AREA),130
ARGUMENT,131
ARITHMETIC,132
ARM,133
ARMY,134
AROUND,135
ARRANGE,136
ARREST,137
ARROW,138
ARTILLERY,139
ASCENSION,140
ASHTRAY,141
ASIA,142
ASK,143
ASK AROUND,144
ASLEEP,145
ASSEMBLY LINE,146
ASSERTIVENESS,147
ASSIGNMENT,148
ASSOCIATION,149
ASTHMA,150
ASTONISHING,151
ASYMPTOTE,152
ATTACK,153
ATTAIN,154
ATTEMPT,155
ATTENTION,156
ATTITUDE,157
ATTRACT,158
ATTRACTION,159
AUCTION,160
AUDIENCE,161
AUDIENCE (EXCITED),162
AUDITORY-VERBAL,163
AUNT,164
AUSLAN,165
AUSTRALIA,166
AUSTRALIAN RULES,167
AUSTRIA,168
AUTHOR,169
AUTHORITY,170
