center,left,right,ID
00000_kf_rgb.mp4,00000_kl_rgb.mp4,00000_kr_rgb.mp4,00000
00002_kf_rgb.mp4,00002_kl_rgb.mp4,00002_kr_rgb.mp4,00002
00005_kf_rgb.mp4,00005_kl_rgb.mp4,00005_kr_rgb.mp4,00005
00009_kf_rgb.mp4,00009_kl_rgb.mp4,00009_kr_rgb.mp4,00009
00010_kf_rgb.mp4,00010_kl_rgb.mp4,00010_kr_rgb.mp4,00010
00013_kf_rgb.mp4,00013_kl_rgb.mp4,00013_kr_rgb.mp4,00013
00016_kf_rgb.mp4,00016_kl_rgb.mp4,00016_kr_rgb.mp4,00016
00017_kf_rgb.mp4,00017_kl_rgb.mp4,00017_kr_rgb.mp4,00017
00018_kf_rgb.mp4,00018_kl_rgb.mp4,00018_kr_rgb.mp4,00018
00019_kf_rgb.mp4,00019_kl_rgb.mp4,00019_kr_rgb.mp4,00019
00022_kf_rgb.mp4,00022_kl_rgb.mp4,00022_kr_rgb.mp4,00022
00024_kf_rgb.mp4,00024_kl_rgb.mp4,00024_kr_rgb.mp4,00024
00027_kf_rgb.mp4,00027_kl_rgb.mp4,00027_kr_rgb.mp4,00027
00028_kf_rgb.mp4,00028_kl_rgb.mp4,00028_kr_rgb.mp4,00028
00029_kf_rgb.mp4,00029_kl_rgb.mp4,00029_kr_rgb.mp4,00029
00032_kf_rgb.mp4,00032_kl_rgb.mp4,00032_kr_rgb.mp4,00032
00034_kf_rgb.mp4,00034_kl_rgb.mp4,00034_kr_rgb.mp4,00034
00039_kf_rgb.mp4,00039_kl_rgb.mp4,00039_kr_rgb.mp4,00039
00041_kf_rgb.mp4,00041_kl_rgb.mp4,00041_kr_rgb.mp4,00041
00042_kf_rgb.mp4,00042_kl_rgb.mp4,00042_kr_rgb.mp4,00042
00046_kf_rgb.mp4,00046_kl_rgb.mp4,00046_kr_rgb.mp4,00046
00048_kf_rgb.mp4,00048_kl_rgb.mp4,00048_kr_rgb.mp4,00048
00061_kf_rgb.mp4,00061_kl_rgb.mp4,00061_kr_rgb.mp4,00061
00062_kf_rgb.mp4,00062_kl_rgb.mp4,00062_kr_rgb.mp4,00062
00064_kf_rgb.mp4,00064_kl_rgb.mp4,00064_kr_rgb.mp4,00064
00065_kf_rgb.mp4,00065_kl_rgb.mp4,00065_kr_rgb.mp4,00065
00066_kf_rgb.mp4,00066_kl_rgb.mp4,00066_kr_rgb.mp4,00066
00067_kf_rgb.mp4,00067_kl_rgb.mp4,00067_kr_rgb.mp4,00067
00074_kf_rgb.mp4,00074_kl_rgb.mp4,00074_kr_rgb.mp4,00074
